540	131	48	3	0	0	0	0	1	0
624	167	63	15	0	0	0	0	1	0
736	224	96	31	0	0	0	0	1	0
768	224	96	31	0	0	0	0	1	0
768	224	96	31	3	0	0	0	1	0
771	240	96	35	1	0	0	0	1	0
736	224	96	31	1	0	0	0	1	0
768	240	96	35	3	0	0	0	1	0
768	224	96	35	3	0	0	0	1	0
736	224	96	31	0	0	0	0	1	0
639	192	71	24	0	0	0	0	1	0
704	192	79	28	0	0	0	0	1	0
655	192	76	28	0	0	0	0	1	0
671	192	71	24	0	0	0	0	1	0
671	192	78	28	0	0	0	0	1	0
652	192	71	19	0	0	0	0	1	0
652	192	71	28	0	0	0	0	1	0
716	204	96	31	0	0	0	0	1	0
768	224	96	35	3	0	0	0	1	0
705	224	96	31	1	0	0	0	1	0
704	204	96	31	0	0	0	0	1	0
304	35	0	0	0	0	0	0	1	0
384	63	7	0	0	0	0	0	1	0
460	112	31	0	0	0	0	0	1	0
543	127	56	7	0	0	0	0	1	0
583	143	56	7	0	0	0	0	1	0
591	143	56	7	0	0	0	0	1	0
568	135	56	7	0	0	0	0	1	0
560	143	56	7	0	0	0	0	1	0
560	140	56	7	0	0	0	0	1	0
575	143	56	6	0	0	0	0	1	0
608	192	96	35	7	0	0	0	1	0
608	192	78	35	1	0	0	0	1	0
624	192	96	31	7	0	0	0	1	0
608	192	96	31	7	0	0	0	1	0
608	192	96	31	7	0	0	0	1	0
590	192	76	33	7	0	0	0	1	0
608	192	96	31	7	0	0	0	1	0
636	192	96	35	7	0	0	0	1	0
608	192	96	33	7	0	0	0	1	0
670	224	112	48	15	0	0	0	1	0
639	224	96	48	15	0	0	0	1	0
515	143	62	24	0	0	0	0	1	0
513	135	60	15	0	0	0	0	1	0
508	135	60	15	0	0	0	0	1	0
513	143	60	24	0	0	0	0	1	0
560	159	63	28	0	0	0	0	1	0
608	176	79	30	7	0	0	0	1	0
575	192	78	31	7	0	0	0	1	0
638	193	96	35	7	0	0	0	1	0
568	135	48	3	0	0	0	0	1	0
568	127	48	3	0	0	0	0	1	0
480	97	17	0	0	0	0	0	1	0
480	96	15	0	0	0	0	0	1	0
480	96	15	0	0	0	0	0	1	0
588	352	312	280	252	240	206	192	0	1
655	408	352	316	284	254	240	224	0	1
639	391	352	312	271	255	224	199	0	1
632	384	327	287	255	240	224	193	0	1
572	319	287	252	224	199	192	163	0	1
583	352	287	255	240	224	192	192	0	1
575	352	312	255	248	224	193	192	0	1
608	352	312	268	248	224	195	192	0	1
608	352	312	271	248	224	199	192	0	1
575	352	304	270	248	224	199	192	0	1
414	224	192	159	143	127	124	112	0	1
287	120	96	79	67	62	48	56	0	1
287	112	96	71	63	60	56	48	0	1
287	120	96	79	63	62	56	48	0	1
384	163	143	127	120	96	96	78	0	1
319	143	126	112	96	79	71	63	0	1
385	192	159	135	126	120	97	96	0	1
384	192	143	127	120	112	96	79	0	1
319	158	127	112	96	96	78	67	0	1
319	143	120	112	96	71	71	63	0	1
480	192	127	96	96	63	63	60	0	1
448	192	126	96	96	63	62	56	0	1
448	192	124	96	96	63	60	56	0	1
460	192	127	96	79	71	60	60	0	1
480	192	127	96	79	71	63	56	0	1
496	192	127	112	96	71	63	60	0	1
540	224	156	124	96	96	71	63	0	1
560	240	159	126	112	96	71	63	0	1
543	240	159	127	112	96	71	63	0	1
583	248	192	135	112	97	79	63	0	1
287	96	60	48	31	28	15	12	0	1
318	96	63	48	31	28	24	15	0	1
287	96	62	48	31	28	17	12	0	1
280	96	60	48	28	28	14	7	0	1
284	96	56	35	30	24	15	7	0	1
255	71	48	31	24	15	7	3	0	1
255	63	48	28	15	14	3	0	0	1
312	96	62	48	31	30	15	12	0	1
384	127	96	71	63	48	39	31	0	1
412	156	120	96	63	63	48	48	0	1
448	192	127	112	96	63	60	56	0	1
480	193	143	112	96	71	63	60	0	1
480	199	135	120	96	78	70	60	0	1
353	127	96	67	62	56	39	31	0	1
385	156	112	96	67	62	56	48	0	1
399	159	124	96	78	63	60	56	0	1
415	192	126	96	79	63	63	56	0	1
287	96	60	48	31	30	28	15	0	1
275	79	56	39	31	28	24	12	0	1
240	60	33	31	24	15	7	7	0	1
240	62	31	28	17	12	7	3	0	1
224	56	28	17	7	3	0	0	0	1
448	192	135	112	96	71	62	60	0	1
480	192	135	112	96	76	63	56	0	1
448	192	124	96	78	63	56	56	0	1
